name,comment,date
Thulani Nyama,No,16/07/2022 16:39:55
Thulani Nyama,Yes,16/07/2022 16:46:52
Thulani Nyama,Maybe,16/07/2022 16:47:05
Elle,Awesome movie,16/07/2022 19:17:57
Siyanda,What a movie,16/07/2022 20:26:07
Riaan,Red Notice is the best,17/07/2022 14:34:38
Thulani Nyama,Wow Red Notice is the best,17/07/2022 20:30:14
Thulani Nyama,Wow,18/07/2022 12:48:33
Thabang,Extraction is awesome,22/07/2022 17:40:20
Thulani Nyama,"Wow, I Red Notice",26/07/2022 20:33:45
Thulani Nyama,Wow,28/07/2022 14:33:12
