title,bag_of_words
Toy Story (1995),adventure animation children comedy fantasy toy rivalry cowboy cgi animation  
Jumanji (1995),adventure children fantasy board game adventurer fight game  
Grumpier Old Men (1995),comedy romance boat lake neighbor rivalry  
Waiting to Exhale (1995),comedy drama romance black american husband wife relationship betrayal mother son relationship  
Father of the Bride Part II (1995),comedy fatherhood doberman dog mansion  
Heat (1995),action crime thriller gun battle organized crime honor criminal investigation  
Sabrina (1995),comedy romance character name as title chauffeur estate playboy  
Tom and Huck (1995),adventure children rescue from drowning near drowning character names as title forenames as title  
Sudden Death (1995),action hockey death in title two word title terrorist  
GoldenEye (1995),action adventure thriller official james bond series james bond character 007 chemical weapons  
"American President, The (1995)",comedy drama romance reference to franklin d. roosevelt reference to martin van buren president speechwriter  
Dracula: Dead and Loving It (1995),comedy horror dracula vampire 19th century insane asylum  
Balto (1995),adventure animation children dog nome alaska alaska children  
Nixon (1995),drama american president american politics paranoia u.s. president  
Cutthroat Island (1995),action adventure romance treasure pirate treasure map pirate ship  
Casino (1995),crime drama crime epic casino gambling gangster  
Sense and Sensibility (1995),drama romance england 19th century based on novel black hair  
Four Rooms (1995),comedy woman gagged woman tied to a chair weapon  
Ace Ventura: When Nature Calls (1995),comedy male objectification kidnapping caught masturbating fictional country  
Money Train (1995),action comedy crime drama thriller train subway loan shark new year's eve  
Get Shorty (1995),comedy crime thriller movie business loan shark debt mobster  
Copycat (1995),crime drama horror mystery thriller serial killer psychopath dead body in a bathtub detective  
Assassins (1995),action crime thriller assassin rival assassination computer hacker  
Powder (1995),drama sci-fi albino electricity loneliness bully  
Leaving Las Vegas (1995),drama romance prostitute alcoholism alcoholic falling in love with a prostitute  
Othello (1995),drama italy black man white woman marriage black man white woman sex black man white woman kiss  
Now and Then (1995),children drama 1970s year 1991 1990s year 1970  
Persuasion (1995),drama romance captain accident napoleonic wars marriage  
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",adventure drama fantasy mystery sci-fi psychotronic film underwater scene children dream  
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),crime drama nan  
Dangerous Minds (1995),drama teacher student relationship ex marine pregnancy high school principal  
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),mystery sci-fi thriller time travel virus mental institution underground  
Wings of Courage (1995),adventure romance imax airmail period piece 3 dimensional  
Babe (1995),children drama farmer pig sheep farm  
Carrington (1995),drama romance writer gay rape f rated  
Dead Man Walking (1995),crime drama nun solitary confinement execution capital punishment  
Across the Sea of Time (1995),documentary imax donald trump immigrant 11 year old brooklyn new york city  
It Takes Two (1995),children comedy mistaken identity identity swapping nylon stockings child plays matchmaker  
Clueless (1995),comedy romance miniskirt girl wears a miniskirt short skirt virgin  
"Cry, the Beloved Country (1995)",drama 1940s racial tension apartheid south africa  
Richard III (1995),drama war fascist dog tank battle  
Dead Presidents (1995),action crime drama vietnam war 1960s black panthers new york city  
Restoration (1995),drama 17th century plague based on novel king charles ii  
Mortal Kombat (1995),action adventure fantasy based on video game campy evil man villain  
To Die For (1995),comedy drama thriller scantily clad female new hampshire television coitus  
How to Make an American Quilt (1995),drama romance younger version of character triple f rated title directed by female love  
Seven (a.k.a. Se7en) (1995),mystery thriller serial killer detective serial murder seven deadly sins  
Pocahontas (1995),animation children drama musical romance unsubtitled foreign language disobedience pocahontas character captain john smith character  
When Night Is Falling (1995),drama romance christian teacher scissoring tribadism  
"Usual Suspects, The (1995)",crime mystery thriller criminal suspect criminal mastermind flashback  
Guardian Angel (1994),action drama thriller murder of a police officer shooting a police officer police officer police officer killed  
Mighty Aphrodite (1995),comedy drama romance new york city talking about sex husband wife relationship hot  
Lamerica (1994),adventure drama albania one word title poverty fraud  
"Big Green, The (1995)",children comedy close up of eyes texas fast motion sports team  
Georgia (1995),drama voyeur sex in bed female rear nudity female frontal nudity  
Kids of the Round Table (1995),adventure children comedy fantasy sword magic 11 year old boy  
Home for the Holidays (1995),drama thanksgiving gay sibling female protagonist dysfunctional family  
"Postman, The (Postino, Il) (1994)",comedy drama romance postman poetry island poet  
"Confessional, The (Confessionnal, Le) (1995)",drama mystery reference to joan of arc 1950s priest hitchcockian  
"Indian in the Cupboard, The (1995)",adventure children fantasy robocop character five word title child protagonist miniature person  
Eye for an Eye (1996),drama thriller pantyhosed leg rape vigilante rape and murder  
Mr. Holland's Opus (1995),drama teaching high school 1990s deafness  
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),comedy crime hood parody grandmother cult film  
Two if by Sea (1996),comedy romance painting island thief voyeur  
Bio-Dome (1996),comedy bio dome experiment biosphere slapstick comedy  
Lawnmower Man 2: Beyond Cyberspace (1996),action sci-fi thriller psychotronic film computer parking garage sword  
Two Bits (1995),drama man wears eyeglasses old man suicide by hanging great depression  
French Twist (Gazon maudit) (1995),comedy romance f rated lesbian strong female character polyamorous relationship  
Friday (1995),comedy adult lives at home hat drug user drug  
