title,year,rating
$9.99,2008,2.5
'71,2014,3.1
'Salem's Lot,2004,2.3333333333333335
'Til There Was You,1997,3.125
(500) Days of Summer,2009,2.75
(Untitled),2009,5.0
009 Re: Cyborg,2012,3.0
10 Items or Less,2006,3.625
10 Things I Hate About You,1999,2.75
"10,000 BC",2008,2.75
100 Bloody Acres,2012,3.0
100 Feet,2008,4.0
100 Girls,2000,2.8333333333333335
101 Dalmatians,1996,2.5555555555555554
101 Reykjavik (101 Reykjavík),2000,3.25
102 Dalmatians,2000,2.75
"11'09""01 - September 11",2002,2.0
11-11-11 (11-11-11: The Prophecy),2011,0.5
11:14,2003,3.0
"11th Hour, The",2007,3.5
12 Angry Men,1997,4.0
12 Rounds,2009,2.75
12 Years a Slave,2013,3.0
127 Hours,2010,2.7777777777777777
12:01,1993,1.0
12:08 East of Bucharest (A fost sau n-a fost?),2006,2.0
12th & Delaware,2010,3.0
13,2010,3.5
13 Assassins (Jûsan-nin no shikaku),2010,4.0
13 Going on 30,2004,3.0
13 Tzameti,2005,4.5
"13th Warrior, The",1999,3.0
1408,2007,3.0625
1492: Conquest of Paradise,1992,2.75
15 Minutes,2001,2.5
16 Blocks,2006,3.3333333333333335
17 Again,2009,3.5
187 (One Eight Seven),1997,2.625
1911 (Xinhai geming),2011,0.5
1991: The Year Punk Broke,1992,3.5
2 Days in New York,2012,3.25
2 Days in Paris,2007,2.75
2 Days in the Valley,1996,3.0
"2 Fast 2 Furious (Fast and the Furious 2, The)",2003,2.75
2 Guns,2013,3.5
20 Dates,1998,3.5
20 Feet from Stardom (Twenty Feet from Stardom),2013,3.5
"20,000 Days on Earth",2014,3.1666666666666665
200 Cigarettes,1999,2.75
2001 Maniacs,2005,2.1666666666666665
2010: Moby Dick,2010,4.0
2012,2009,2.75
2046,2004,3.4166666666666665
21,2008,3.25
21 Grams,2003,3.25
21 Jump Street,2012,2.75
21 and Over,2013,4.25
22 Bullets (L'immortel),2010,3.25
22 Jump Street,2014,3.0
23 (23 - Nichts ist so wie es scheint),1998,3.0
24 7: Twenty Four Seven,1997,2.0
24 Hour Party People,2002,3.4285714285714284
"24 Hour Woman, The",1998,3.0
24: Redemption,2008,3.6666666666666665
"24th Day, The",2004,4.0
25th Hour,2002,3.5
27 Dresses,2008,2.75
28 Days,2000,2.75
28 Days Later,2002,3.0
28 Weeks Later,2007,3.25
2:37,2006,2.75
2LDK,2003,3.25
3 Days to Kill,2014,2.6666666666666665
3 Extremes (Three... Extremes) (Saam gaang yi),2004,3.5
3 Idiots,2009,3.2142857142857144
3 Ninjas,1992,2.1
3 Ninjas Kick Back,1994,2.0
3 Ninjas Knuckle Up,1995,2.3333333333333335
3 Ninjas: High Noon On Mega Mountain,1998,2.0
3-Iron (Bin-jip),2004,3.75
30 Days of Night,2007,2.5
30 Days of Night: Dark Days,2010,3.1666666666666665
30 Minutes or Less,2011,3.25
30 Years to Life,2001,4.0
300,2007,2.75
3000 Miles to Graceland,2001,2.7
300: Rise of an Empire,2014,2.4285714285714284
35 Up,1991,3.75
36 Quai des Orfèvres (Department 36),2004,3.5
3:10 to Yuma,2007,3.125
4,2005,4.0
4 Little Girls,1997,3.5
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile)",2007,3.875
4.3.2.1,2010,2.0
40 Days and 40 Nights,2002,2.5
"40-Year-Old Virgin, The",2005,2.75
42,2013,3.25
42 Up,1998,3.5
44 Minutes: The North Hollywood Shoot-Out,2003,3.0
47 Ronin,2013,3.1
49 Up,2005,4.125
"4th Floor, The",1999,4.0
5 Centimeters per Second (Byôsoku 5 senchimêtoru),2007,3.4166666666666665
50 First Dates,2004,2.75
50/50,2011,3.75
54,1998,3.0833333333333335
5x2,2004,3.5
6 Days to Air: The Making of South Park,2011,3.25
6 Souls (Shelter),2010,4.0
61*,2001,4.0
6ixtynin9 (Ruang Talok 69),1999,4.0
"6th Day, The",2000,2.75
"6th Man, The (Sixth Man, The)",1997,2.5
8 Heads in a Duffel Bag,1997,2.5
8 Mile,2002,2.888888888888889
8 Seconds,1994,3.3333333333333335
8 Women,2002,3.25
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women),1999,3.5
88 Minutes,2008,2.7
8: The Mormon Proposition,2010,4.0
8MM,1999,3.1875
9,2009,3.1875
9,2005,3.25
9 Songs,2004,2.5
9/11,2002,2.5
99 Homes,2014,3.5
99 francs,2007,3.5
9th Company,2005,3.0
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn),2008,3.0
A Cinderella Story: Once Upon a Song,2011,3.0
A Dog's Breakfast,2007,3.5
A Home at the End of the World,2004,3.8333333333333335
A Million Ways to Die in the West,2014,2.75
A Most Violent Year,2014,3.5
A Most Wanted Man,2014,3.25
A Pigeon Sat on a Branch Reflecting on Existence,2014,4.5
"A-Team, The",2010,3.0
A.I. Artificial Intelligence,2001,2.75
ATM,2012,1.0
AVP: Alien vs. Predator,2004,2.5
AVPR: Aliens vs. Predator - Requiem,2007,2.25
Aamir,2008,3.0
Abandon,2002,2.0
Abduction,2011,2.375
Aberdeen,2000,3.5
About Adam,2000,3.5
About Elly (Darbareye Elly),2009,3.25
About Last Night,2014,2.875
About Schmidt,2002,3.0
About Time,2013,3.2857142857142856
About a Boy,2002,3.1875
Above the Rim,1994,2.6666666666666665
Abraham Lincoln: Vampire Hunter,2012,2.75
Absentia,2011,3.5
Absolute Giganten,1999,3.75
Absolute Power,1997,3.0
Accepted,2006,3.0
"Accidental Husband, The",2009,4.5
Ace Ventura: Pet Detective,1994,2.75
Ace Ventura: When Nature Calls,1995,2.75
Aces: Iron Eagle III,1992,2.5
"Acid House, The",1998,4.5
Across the Sea of Time,1995,3.0
Across the Universe,2007,3.0
"Act of Killing, The",2012,3.5
Act of Valor,2012,3.0
Adam,2009,3.5
Adam's Apples (Adams æbler),2005,3.8
Adaptation,2002,3.0
Addams Family Values,1993,2.75
"Addams Family, The",1991,2.75
Addicted to Love,1997,3.0
"Addiction, The",1995,4.0
Adjust Your Tracking,2013,5.0
"Adjustment Bureau, The",2011,3.125
Admiral,2008,2.0
Admission,2013,3.5
Adore,2013,2.5
Adult World,2013,3.8333333333333335
Advanced Style,2014,4.5
"Adventure in Space and Time, An",2013,3.0
Adventureland,2009,3.5
"Adventures of Elmo in Grouchland, The",1999,3.0
"Adventures of Huck Finn, The",1993,2.3333333333333335
"Adventures of Pinocchio, The",1996,3.1
"Adventures of Pluto Nash, The",2002,2.375
"Adventures of Priscilla, Queen of the Desert, The",1994,3.0
"Adventures of Rocky and Bullwinkle, The",2000,3.0
"Adventures of Sharkboy and Lavagirl 3-D, The",2005,0.75
"Adventures of Tintin, The",2011,3.1875
Aeon Flux,2005,3.1875
"Affair of Love, An (Liaison pornographique, Une)",1999,4.0
"Affair of the Necklace, The",2001,4.0
Affliction,1997,3.125
Africa: The Serengeti,1994,4.0
African Cats,2011,3.0
Afro Samurai: Resurrection,2009,1.5
After Earth,2013,2.1
After Life (Wandafuru raifu),1998,3.4
After School Special (a.k.a. Barely Legal),2003,2.0
After Sex,2007,2.5
After You (Après vous...),2003,3.5
After the Life,2002,3.5
After the Sunset,2004,2.6666666666666665
After the Wedding (Efter brylluppet),2006,4.25
After.Life,2009,3.0
Afterglow,1997,3.5
Against the Ropes,2004,3.0
"Age of Innocence, The",1993,3.0
"Age of Stupid, The",2009,3.25
Agent Cody Banks,2003,2.7857142857142856
Agent Cody Banks 2: Destination London,2004,2.3
Agnes Browne,1999,3.0
Agora,2009,3.2
Aileen: Life and Death of a Serial Killer,2003,3.0
Aimée & Jaguar,1999,4.125
Air Bud,1997,2.4375
Air Bud: Golden Receiver,1998,1.625
Air Doll (Kûki ningyô),2009,2.5
Air Force One,1997,2.75
"Air I Breathe, The",2007,3.5
"Air Up There, The",1994,2.0
Airheads,1994,3.0
Ajami,2009,4.0
Akeelah and the Bee,2006,2.5
Akira Kurosawa's Dreams (Dreams),1990,3.6666666666666665
Al Franken: God Spoke,2006,3.0
Aladdin,1992,2.75
Alan Partridge: Alpha Papa,2013,3.6666666666666665
"Alan Smithee Film: Burn Hollywood Burn, An",1997,2.0
Alaska,1996,2.0
Albert Nobbs,2011,3.25
Albino Alligator,1996,3.5
Alcan Highway (Alaska Highway),2013,4.0
Alex Cross,2012,2.5
Alex and Emma,2003,1.75
Alexander,2004,2.9166666666666665
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,3.0
Alfie,2004,3.0
Ali,2001,2.8125
Ali G Indahouse,2002,3.625
Alice in Wonderland,2010,2.9444444444444446
Alien Escape,1995,1.0
Alien Outpost,2014,3.5
Alien: Resurrection,1997,2.75
Aliens in the Attic,2009,2.25
Aliens of the Deep,2005,2.75
Alien³ (a.k.a. Alien 3),1992,3.0
Alive,1993,3.6666666666666665
All About Anna,2005,1.5
All About Lily Chou-Chou (Riri Shushu no subete),2001,3.0
All About My Mother (Todo sobre mi madre),1999,2.9375
All About Steve,2009,2.8333333333333335
All About the Benjamins,2002,4.0
All Dogs Go to Heaven 2,1996,2.5833333333333335
All Good Things,2010,3.0
All Is Lost,2013,4.166666666666667
All Over the Guy,2001,3.5
All Things Fair (Lust och fägring stor),1995,3.0
All Watched Over by Machines of Loving Grace,2011,4.5
All is Bright,2013,5.0
All or Nothing,2002,3.6666666666666665
All the Boys Love Mandy Lane,2006,3.25
All the King's Men,2006,3.5
All the Pretty Horses,2000,3.0833333333333335
All the Queen's Men,2001,4.0
All the Real Girls,2003,3.5
Almost Famous,2000,3.0
Almost Heroes,1998,2.3
Alois Nebel,2011,5.0
Alone in the Dark,2005,1.5
Alone in the Dark II,2008,3.5
Alone in the Wilderness,2004,4.75
Alone with Her,2006,3.0
Along Came Polly,2004,2.6875
Along Came a Spider,2001,3.0
Alpha Dog,2007,3.0
Alpha and Omega,2010,0.5
Alps (Alpeis),2011,4.0
Alvin and the Chipmunks,2007,2.5
Alvin and the Chipmunks: Chipwrecked,2011,2.625
Alvin and the Chipmunks: The Squeakquel,2009,2.75
Ama lur (Tierra Madre),1968,3.5
Amandla! A Revolution in Four Part Harmony,2002,4.5
Amateur,1994,3.5
Amazing Grace,2006,2.8333333333333335
"Amazing Panda Adventure, The",1995,3.5
"Amazing Spider-Man, The",2012,2.9444444444444446
"Ambassador, The (Ambassadøren)",2011,4.5
Ambush (Rukajärven tie),1999,3.5
"Amelie (Fabuleux destin d'Amélie Poulain, Le)",2001,2.75
Amen.,2002,3.8333333333333335
Amer,2009,3.0
America's Sweethearts,2001,2.625
American Beauty,1999,2.75
American Buffalo,1996,3.375
"American Carol, An",2008,1.5
"American Crime, An",2007,4.75
American Dreamz,2006,2.75
American Gangster,2007,2.9444444444444446
American Hardcore,2006,2.5
"American Haunting, An",2005,2.25
American History X,1998,2.888888888888889
American Hustle,2013,2.888888888888889
American Mary,2012,4.25
American Me,1992,2.3
American Movie,1999,3.1875
American Outlaws,2001,3.0
American Pie,1999,2.75
American Pie 2,2001,2.75
"American President, The",1995,2.75
American Psycho,2000,2.75
American Psycho II: All American Girl,2002,1.25
American Reunion (American Pie 4),2012,2.75
"American Rhapsody, An",2001,0.75
American Sniper,2014,2.9444444444444446
American Splendor,2003,3.125
American Strays,1996,4.0
"American Tail: Fievel Goes West, An",1991,3.25
American Teen,2008,3.5
American Virgin,2000,2.5
American Wedding (American Pie 3),2003,3.0
"American Werewolf in Paris, An",1997,2.5555555555555554
"American, The",2010,3.5
American: The Bill Hicks Story,2009,5.0
Amistad,1997,2.888888888888889
Amityville 1992: It's About Time,1992,1.0
"Amityville Horror, The",2005,2.5
Amityville: A New Generation,1993,1.0
Amityville: Dollhouse,1996,3.0
Amores Perros (Love's a Bitch),2000,3.4166666666666665
Amos & Andrew,1993,2.0
Amour,2012,3.5
Amy,1998,4.0
Amy's O (a.k.a. Amy's Orgasm),2001,1.5
An Amazing Couple,2002,2.5
An American Tail: The Mystery of the Night Monster,1999,0.5
Anaconda,1997,2.5555555555555554
Anacondas: The Hunt for the Blood Orchid,2004,2.375
Analyze That,2002,2.75
Analyze This,1999,2.888888888888889
Anamorph,2007,4.0
Anastasia,1997,3.1875
Anatomy (Anatomie),2000,1.5
Anatomy of Hell (Anatomie de l'enfer),2004,3.25
Anchorman 2: The Legend Continues,2013,2.9444444444444446
Anchorman: The Legend of Ron Burgundy,2004,2.75
And Now... Ladies and Gentlemen...,2002,4.0
And When Did You Last See Your Father?,2007,2.75
And Your Mother Too (Y tu mamá también),2001,3.25
And the Band Played On,1993,4.0
Andre,1994,2.6
Angel,2007,3.0
Angel Baby,1995,3.0
Angel Eyes,2001,2.9
Angel of Death,2009,5.0
Angel-A,2005,4.125
Angela,1995,4.5
Angela's Ashes,1999,3.0
Angels & Demons,2009,3.0
Angels and Insects,1995,3.3
Angels in the Outfield,1994,2.7857142857142856
"Angels' Share, The",2012,4.0
Anger Management,2003,2.75
Angie,1994,3.0
"Angriest Man in Brooklyn, The",2014,3.5
Angus,1995,3.5
"Angus, Thongs and Perfect Snogging",2008,3.3333333333333335
Animal Factory,2000,3.25
Animal Kingdom,2010,3.5
"Animal, The",2001,2.5
"Animatrix, The",2003,3.1875
Anna Karenina,2012,2.7
Anna Karenina,1997,3.5
Anna and the King,1999,3.25
Annabelle,2014,2.3
Annapolis,2006,3.5
Anne Frank Remembered,1995,4.5
Annie,2014,2.25
"Anniversary Party, The",2001,3.5
Anonymous,2011,4.25
Another Cinderella Story,2008,2.75
Another Day in Paradise,1998,3.3333333333333335
Another Earth,2011,3.1666666666666665
Another Happy Day,2011,4.0
Another Stakeout,1993,2.5
Another Year,2010,2.8333333333333335
"Answer Man, The (a.k.a. Arlen Faber)",2009,3.0
Answer This!,2010,3.0
"Ant Bully, The",2006,3.0
Antares,2004,5.0
Antibodies (Antikörper),2005,4.0
Antichrist,2009,2.9444444444444446
Antitrust,2001,3.25
Antonia's Line (Antonia),1995,3.5
Ants in the Pants 2,2002,2.25
Antwone Fisher,2002,2.857142857142857
Antz,1998,2.75
Anvil! The Story of Anvil,2008,3.5
Any Given Sunday,1999,2.75
Anything Else,2003,2.6666666666666665
Anywhere But Here,1999,2.6666666666666665
Apartment 143,2011,1.5
"Apartment, The (Appartement, L')",1996,3.5
Apocalypto,2006,2.75
Apollo 13,1995,2.75
Apollo 13: To the Edge and Back,1994,3.5
Apollo 18,2011,3.1666666666666665
"Apostle, The",1997,3.1875
Appaloosa,2008,3.125
Appleseed (Appurushîdo),2004,3.6
Apt Pupil,1998,2.75
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,3.5
Ararat,2002,4.75
Arbitrage,2012,3.6666666666666665
Arctic Tale,2007,3.5
Are We Done Yet?,2007,1.6666666666666667
Are We There Yet?,2005,2.1666666666666665
Are You Here,2014,2.0
Are You Scared?,2006,0.5
Arena,2011,2.0
Argo,2012,3.1875
"Aristocrats, The",2005,2.9166666666666665
Arizona Dream,1993,3.5
Arlington Road,1999,3.1875
Armadillo,2010,4.0
Armageddon,1998,2.75
Armored,2009,4.25
"Armstrong Lie, The",2013,3.5
"Armwrestler From Solitude, The (Armbryterskan från Ensamheten)",2004,3.0
Army of Darkness,1993,2.75
Arn: The Kingdom at Road's End (Arn: Riket vid vägens slut),2008,3.5
Arn: The Knight Templar (Arn - Tempelriddaren),2007,2.75
Around the World in 80 Days,2004,2.7142857142857144
"Arrival, The",1996,3.25
Art School Confidential,2006,3.2
"Art of Getting By, The",2011,3.1666666666666665
"Art of War, The",2000,1.625
"Art of the Steal, The",2013,3.0
"Art of the Steal, The",2009,4.0
Artemisia,1997,4.0
Arthur,2011,2.25
Arthur Christmas,2011,3.5
Arthur and the Invisibles,2007,3.5
Article 99,1992,2.5
"As Above, So Below",2014,3.4
As Far As My Feet Will Carry Me (So weit die Füße tragen),2001,3.75
As Good as It Gets,1997,3.0
As it is in Heaven (Så som i himmelen),2004,4.333333333333333
Ashes of Time (Dung che sai duk),1994,5.0
Ask the Dust,2006,2.5
Asoka (Ashoka the Great),2001,3.0
Aspen Extreme,1993,2.25
Assassination Tango,2002,2.5
"Assassination of Jesse James by the Coward Robert Ford, The",2007,3.0
"Assassination of Richard Nixon, The",2004,3.5
Assassination of a High School President,2008,3.5
Assassins,1995,2.6875
Assault on Precinct 13,2005,2.8
"Assignment, The",1997,3.25
"Associate, The",1996,3.5
Asterix & Obelix vs. Caesar (Astérix et Obélix contre César),1999,3.5
Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté),2012,3.0
Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre),2002,3.6
Asterix and the Vikings (Astérix et les Vikings),2006,3.5
Asterix at the Olympic Games (Astérix aux jeux olympiques),2008,2.25
Asterix in America (a.k.a Asterix Conquers America) (Astérix et les Indiens),1994,3.25
Asterix: The Land of the Gods (Astérix: Le domaine des dieux),2014,4.25
Astro Boy,2009,2.0
"Astronaut Farmer, The",2007,3.5
"Astronaut's Wife, The",1999,2.4375
Asylum Blackout,2011,3.5
At First Sight,1999,3.25
At Play in the Fields of the Lord,1991,2.25
Atlantis: The Lost Empire,2001,2.9444444444444446
Atonement,2007,3.0625
Attack the Block,2011,2.7
Attack the Gas Station! (Juyuso seubgyuksageun),1999,4.0
Attenberg,2010,3.0
Audition (Ôdishon),1999,2.7857142857142856
August,1996,3.0
August Rush,2007,3.5
August: Osage County,2013,3.75
"Aura, The (Aura, El)",2005,4.0
Aurora,2010,3.0
Aurora,2012,1.5
Austin Powers in Goldmember,2002,2.75
Austin Powers: International Man of Mystery,1997,2.75
Austin Powers: The Spy Who Shagged Me,1999,2.75
Australia,2008,2.9166666666666665
Auto Focus,2002,2.6
"Autobiography of Nicolae Ceausescu, The (Autobiografia lui Nicolae Ceausescu)",2010,2.5
"Autumn Heart, The",1999,3.0
Autumn Spring (Babí léto),2001,3.5
"Autumn Tale, An (Conte d'automne)",1998,2.75
Autumn in New York,2000,2.8333333333333335
Autómata (Automata),2014,3.25
Avalon,2001,3.2
Avatar,2009,2.75
"Avengers, The",1998,2.75
"Avengers, The",2012,2.888888888888889
Avenue Montaigne (Fauteuils d'orchestre),2006,4.0
Average Italian,2015,3.0
"Aviator, The",2004,2.75
Awake,2007,4.0
"Awakening, The",2011,3.75
Away We Go,2009,3.75
Away from Her,2006,3.25
"Awfully Big Adventure, An",1995,2.6666666666666665
Ayn Rand: A Sense of Life,1997,3.1666666666666665
Azumi,2003,3.0
Azur & Asmar (Azur et Asmar),2006,5.0
B*A*P*S,1997,1.5
B. Monkey,1998,3.0
B.N.B. (Bunty Aur Babli),2005,2.0
BASEketball,1998,3.0
Baadasssss! (How to Get the Man's Foot Outta Your Ass),2003,3.75
"Baader Meinhof Komplex, Der",2008,3.75
Babe,1995,2.75
"Babe, The",1992,2.625
Babe: Pig in the City,1998,2.9166666666666665
Babel,2006,3.0
Baby Boy,2001,4.25
Baby Geniuses,1999,2.0
Baby Mama,2008,3.3333333333333335
"Baby-Sitters Club, The",1995,3.5
Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,2002,3.3333333333333335
Babylon 5: The Lost Tales - Voices in the Dark,2007,2.25
Babylon A.D.,2008,2.4
"Babysitter, The",1995,2.5
"Babysitters, The",2007,5.0
"Bachelor, The",1999,2.357142857142857
"Back-up Plan, The",2010,3.0
Backbeat,1993,3.6666666666666665
Backcountry,2014,3.5
Backdraft,1991,3.0
Bad Boys,1995,2.75
Bad Boys II,2003,2.75
Bad Company,2002,2.6
Bad Company,1995,2.6666666666666665
Bad Education (La mala educación),2004,4.0
Bad Girls,1994,3.0
Bad Johnson,2014,3.0
Bad Lieutenant,1992,3.3
Bad Lieutenant: Port of Call New Orleans,2009,3.25
Bad Moon,1996,3.5
Bad News Bears,2005,3.0
Bad Santa,2003,2.75
Bad Teacher,2011,2.6666666666666665
